name,description,service,did,request_header,response_header,request,response_prefix,module,bus,response_length,byte_positions,byte_order,signed,multiplier,divisor,offset,equation,units,vehicles,platform,engine,transmission,session_required,security_required,confidence,status,source_count,validation_method,notes
Transmission fluid temperature,GM enhanced trans fluid temp,22,1940,7E2,7EA,221940,621940,TCM,HS-CAN,5,B4,big/byte,false,1,1,-40,B4-40 or ((B4-40)*1.8)+32,C/F,2022 Buick Enclave and GM 9T65 candidates plus 2023 Traverse raw evidence,C1XX,LGX,9T65,default,no,Confirmed,confirmed_live,8,Cold ambient and warm-up; compare scan tool,Live Enclave 2026-08-06 confirmed 7E8 04 62 19 40 46 as 86 F via 7E0/7E8 and 7EA 04 62 19 40 47 as 87.8 F via 7E2/7EA
Transmission fluid temperature alternate 1949,GM enhanced trans fluid temp fallback,22,1949,7E0,7E8,221949,621949,ECM/TCM,HS-CAN,unknown,B4 translated,byte,false,1,0.75,-40,(A-40)/0.75 translated after response,C,GM broad Torque candidate,C1XX/GM,unknown,9T65,default,no,Experimental,fallback_only,2,Only test if 221940 fails; compare TFT warm-up,GM/Torque method 3 lead; weaker than 221940 and not quick-test priority
Engine oil temperature enhanced,GM enhanced oil temp,22,1154,7E0,7E8,221154,621154,ECM,HS-CAN,5,B4,big/byte,false,1,1,-40,B4-40 or ((B4-40)*1.8)+32,C/F,GM LGX candidates plus 2023 Traverse raw evidence,C1XX/GM,LGX,9T65,default,no,Confirmed,confirmed_live,5,Compare warm-up behavior,Live Enclave 2026-08-06 confirmed response 7E8 04 62 11 54 4C decoded as 96.8 F; standard 015C returned NO DATA in same session
Oil life candidate 119F,GM oil life candidate,22,119F,7E0,7E8,22119F,62119F,ECM,HS-CAN,unknown,B4,big/byte,false,100,255,0,B4*100/255,%,GM modern candidates,C1XX/GM,LGX,9T65,default,no,Rejected,rejected_on_enclave,4,Rejected by live response,Live Enclave 2026-08-06 returned 7E8 03 7F 22 31 requestOutOfRange while dash oil life was 34 percent
Oil life candidate 119F01,Alternate oil life request with extra selector,22,119F01,7E0,7E8,22119F01,62119F,ECM,HS-CAN,unknown,B4 or unknown,big/byte,false,100,255,0,B4*100/255 if payload matches,%,GM modern candidates,C1XX/GM,LGX,9T65,default,no,Rejected,rejected_on_enclave,3,Rejected by live response,Live Enclave 2026-08-06 returned 7E8 03 7F 22 12 subFunctionNotSupported or invalid format while dash oil life was 34 percent
Oil life rejected 1155,Previously tested oil life candidate,22,1155,7E0,7E8,221155,621155,ECM,HS-CAN,5,B4,big/byte,false,100,255,0,B4/2.55,%,2022 Buick Enclave,C1XX,LGX,9T65,default,no,Rejected,do_not_trust,1,Compared dash and failed,Response 7E8 04 62 11 55 63 did not match dash
Oil pressure candidate 115C,GM oil pressure candidate,22,115C,7E0,7E8,22115C,62115C,ECM,HS-CAN,5,B4 translated,byte,false,0.65,1,-17.5,(A*0.65)-17.5 translated to WiCAN byte,psi,GM candidates,C1XX/GM,LGX,9T65,default,no,Rejected,implausible_live,5,Engine running should not decode negative pressure,Live Enclave 2026-08-06 returned 7E8 04 62 11 5C 00 while running which decodes to -17.5 psi by public formula; do not use
Oil pressure candidate 1470,GM oil pressure candidate,22,1470,7E0,7E8,221470,621470,ECM,HS-CAN,5,B4 translated,byte,false,0.039849,1,0,V*0.578*0.06894757,bar,GM candidates and RealDash GM LS,C1XX/GM,LGX,9T65,default,no,Rejected,implausible_live,3,Engine running should not show zero pressure,Live Enclave 2026-08-06 returned 7E8 04 62 14 70 00 while running; do not use
Knock retard candidate,GM enhanced knock retard,22,11A6,7E0,7E8,2211A6,6211A6,ECM,HS-CAN,5,B4,byte,false,22.5,256,0,22.5*B4/256,degrees,GM candidates and 2023 Traverse raw evidence,C1XX/GM,LGX,9T65,default,no,Possible,ready_to_test,3,Compare scan tool/load behavior,OBDb Traverse raw cases confirm 0 deg from 00 and 15.62 deg from 47; validate behavior before permanent use
Enhanced runtime candidate,GM enhanced runtime,22,11A1,7E0,7E8,2211A1,6211A1,ECM,HS-CAN,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,min,GM candidates,C1XX/GM,LGX,9T65,default,no,Experimental,ready_to_test,1,Compare standard 011F,Prefer standard 011F
